CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
30.567.216/0001-02;2024-03-31;1;Edifício The Taj;Rua Casa do Ator, 1117;101.77;1;Cjs. 112;0.166963;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Francisco Lopes;Avenida Doutor Cardoso de Melo, 1855;769.62;2;Cj. 11 e 12 e Box do Cj. Manager Center, à R. Dr. Cardoso de Mello, esquina da Rua Funchal, sendo: Box 145 a 147 do 1º subsolo e Box 136 a 146 do 2º subsolo;0.096005;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Monumento;Avenida Brigadeiro Faria Lima, 1478;312.88;8;cjs. 801 a 808;0.097348;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Setin Tower;Rua Fidêncio Ramos, 100;515.29;1;cj. 17;0.168361;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Naur Martins;Rua Professor Artur Ramos, 96;398.12;2;cj. 51 e 52;0.113003;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Gold Center;Rua Arizona, 1426;484.65;3;Cj. 21, 22 e 32;0.141749;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Trade Tower e Business;Rua Helena, 218;532.88;12;cjs.301 a 312 e vagas de garagem cobertas, nº 47 a 58;0.156088;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Florida;Rua Florida, 1738;350.06;2;cjs.11 e 12;0.086914;Renda
30.567.216/0001-02;2024-06-30;1;Edifício Brasif;Rua Luigi Galvani, 146;216.5;1;Cj. 11;0.080096;Renda
30.567.216/0001-02;2024-06-30;1;Ed. Veranda Berrini Gran Estan - Veranda Loft Office Service;Rua Ribeiro do Vale, 152;184.19;3;cjs. 71, 72 e 77;0.060436;Renda
30.567.216/0001-02;2024-09-30;1;Ed. Condomínio Tangram, laje 401;Rua Ibirajá, nº 244,282,292,322 e 342, Vila Guarani, Jabaquara;683.04;1;Laje corporativa nº 401,com área privativa de 683,04, localizada no 4º pav. da Torre 2, objeto da matrícula 207.663 do 8º oficial de registro de imóveis.;0.012599;Renda
30.567.216/0001-02;2024-09-30;1;Ed. Condomínio Tangram, área de estacionamento;Rua Ibirajá, nº 244,282,292,322 e 342, Vila Guarani, Jabaquara;503.33;1;Unidade autônoma de estacionamento localizada no térreo da torre 2, com área privativa de 503,33, objeto da matrícula 207.660 do 8º oficial de registro de imóveis.;0.004032;Renda
30.567.216/0001-02;2024-12-31;1;Edd. Bolsa de Imóveis -SP;Av. das Nações Unidas, 11.541 - São Paulo - SP;513.1;1;Conjunto 142, localizado no 14º andar ou 11º pav., com área privativa de 513,10 m², incluidas 11 vagas de garagem, objeto da matrícula 155.960 15º registro de imóveis. Mais duas vagas individualizadas: vaga 34, área privativa 10,00m²  1º subsolo, objeto da matrícula 155.958 15º registro de imóveis e vaga 52,  área privativa 10,00m²  1º subsolo, objeto da matrícula 155.959 15º registro de imóveis.;0.014395;Renda
