CNPJ_Fundo;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
28.516.650/0001-03;2020-06-30;1;Imóveis para venda em construção;Condomínio Borges 3647;As medidas sanitárias de distanciamento social, em virtude da pandemia do COVID-19, demandaram atitudes de prevenção por parte da empresa de engenharia, sem que a obra tenha sido parasalisada, porém , a obra encontra-se atrasada em 3 meses em relação ao cronograma.;
28.516.650/0001-03;2020-09-30;1;Imóveis para venda em construção;Condomínio Borges 3647;A OBRA PODE SER CONSIDERADA CONCLUÍDA, EMBORA AINDA ESTEJAM EM CURSO A FINALIZAÇÃO DOS SERVIÇOS DE LIMPEZA FINAL E DA DESMOBILIZAÇÃO DO CANTEIRO, MAS QUE, PORÉM, TÊM PLENAS CONDIÇÕES DE ESTAREM TODOS CONCLUÍDOS ATÉO FINAL DO MÊS. A CONSTRUTORA DEU ENTRADA NO PROCESSO DE SOLICITAÇÃO DO HABITE-SE EM SET/2020.;
28.516.650/0001-03;2020-12-31;1;Imóveis para venda em construção;Condomínio Lisboa 142;O atraso refere-se principalmente na entrega de materiais na fase de fundação, estágio que encontra-se a obra.;
28.851.767/0001-43;2020-03-31;2;Imóveis para renda em construção;Hospital Unimed Sul Capixaba;N/A;N/A
30.017.492/0001-99;2020-03-31;1;Imóveis para renda em construção;UNIMED - Unimed Itu/Salto Cooperativa Médica;;
30.017.492/0001-99;2020-06-30;1;Imóveis para renda em construção;Rua Ester Martins Bertozzo, com a Rodovia da Convenção (SP-40/70), no Bairro Canjica;;
30.017.492/0001-99;2020-09-30;1;Imóveis para renda em construção;Rua Ester Martins Bertozzo, com a Rodovia da Convenção (SP-40/70), no Bairro Canjica;;
30.017.492/0001-99;2020-12-31;1;Imóveis para renda em construção;Rua Ester Martins Bertozzo, com a Rodovia da Convenção (SP-40/70), no Bairro Canjica;;
30.654.849/0001-40;2020-03-31;3;Imóveis para renda em construção;NA;NA;NA
30.654.849/0001-40;2020-06-30;3;Imóveis para renda em construção;NA;NA;NA
30.871.660/0001-09;2020-06-30;1;Imóveis para renda em construção;Ed. Maestro Cardim;0;0
30.871.660/0001-09;2020-06-30;1;Imóveis para renda em construção;Ed Ouro Branco;0;0
30.871.660/0001-09;2020-09-30;1;Imóveis para renda em construção;Ed Ouro Branco;0;0
30.871.660/0001-09;2020-09-30;1;Imóveis para renda em construção;Ed. Maestro Cardim;0;0
30.871.716/0001-25;2020-03-31;1;Imóveis para renda em construção;N/D;N/D;N/D
30.871.716/0001-25;2020-06-30;1;Imóveis para renda em construção;N/D;N/D;N/D
30.871.716/0001-25;2020-09-30;1;Imóveis para renda em construção;N/D;N/D;N/D
30.871.716/0001-25;2020-12-31;1;Imóveis para renda em construção;N/D;N/D;N/D
31.469.385/0001-64;2020-03-31;1;Imóveis para renda em construção;Unidade 209;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-03-31;1;Imóveis para renda em construção;Unidade 210;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-03-31;1;Imóveis para renda em construção;Unidade 204;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-03-31;1;Imóveis para renda em construção;Unidade 202;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-03-31;1;Imóveis para renda em construção;Unidade 104;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-03-31;1;Imóveis para renda em construção;Unidade 102;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-03-31;1;Imóveis para renda em construção;Unidade 109;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-03-31;1;Imóveis para renda em construção;Unidade 201;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-03-31;1;Imóveis para renda em construção;Unidade 203;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-03-31;1;Imóveis para renda em construção;Unidade 103;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-06-30;1;Imóveis para renda em construção;Unidade 203;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-06-30;1;Imóveis para renda em construção;Unidade 202;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-06-30;1;Imóveis para renda em construção;Unidade 104;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-06-30;1;Imóveis para renda em construção;Unidade 209;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-06-30;1;Imóveis para renda em construção;Unidade 109;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-06-30;1;Imóveis para renda em construção;Unidade 210;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-06-30;1;Imóveis para renda em construção;Unidade 201;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-06-30;1;Imóveis para renda em construção;Unidade 204;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-06-30;1;Imóveis para renda em construção;Unidade 102;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-06-30;1;Imóveis para renda em construção;Unidade 103;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
