CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
18.369.510/0001-04;2022-06-30;1;Imóveis para renda em construção;.;.;.
18.369.510/0001-04;2022-09-30;1;Imóveis para renda em construção;.;.;.
18.369.510/0001-04;2022-12-31;1;Imóveis para renda em construção;.;.;.
20.265.467/0001-70;2022-03-31;1;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
20.265.467/0001-70;2022-06-30;1;Imóveis para renda em construção;Não há informação apresentada;Não há informação apresentada;Não há informação apresentada
20.265.467/0001-70;2022-09-30;1;Imóveis para renda em construção;Não há informação apresentada;Não há informação apresentada;Não há informação apresentada
20.265.467/0001-70;2022-12-31;1;Imóveis para venda em construção;Não possui informação apresentada;Não possui informação apresentada;Não possui informação apresentada
24.853.044/0001-22;2022-03-31;1;Imóveis para renda em construção;Castelo 57 Business Park;n/a;n/a
24.853.044/0001-22;2022-06-30;3;Imóveis para renda em construção;Castelo 57 Business Park;n/a;n/a
24.853.044/0001-22;2022-09-30;1;Imóveis para renda em construção;Castelo 57 Business Park;n/a;n/a
24.853.044/0001-22;2022-12-31;2;Imóveis para renda em construção;Castelo 57 Business Park;n/a;n/a
26.191.053/0001-20;2022-12-31;1;Imóveis para renda em construção;Não possui informação apresentada;Não possui informação apresentada;Não possui informação apresentada
26.502.794/0001-85;2022-03-31;2;Imóveis para renda em construção;CD Leroy Expansão;Não aplicável;Não aplicável
26.502.794/0001-85;2022-03-31;2;Imóveis para renda em construção;Especulativo Extrema;Não aplicável;Não aplicável
26.502.794/0001-85;2022-03-31;2;Imóveis para renda em construção;Syslog SP;Não aplicável;Não aplicável
26.502.794/0001-85;2022-06-30;1;Imóveis para renda em construção;Informação não apresentada.;Informação não apresentada.;Informação não apresentada.
26.502.794/0001-85;2022-09-30;1;Imóveis para renda em construção;Informação não apresentada.;Informação não apresentada.;Informação não apresentada.
26.502.794/0001-85;2022-12-31;1;Imóveis para renda em construção;Informação não apresentada.;Informação não apresentada.;Informação não apresentada.
26.614.291/0001-00;2022-03-31;1;Imóveis para renda em construção;Projeto BTS Eagleburgmann do Brasil;Chuvas acima da média historica em junho 21, substituição da construtora, atraso na emissão de licenças pelos orgãos publicos e  atrasos com a concessionária de energia elétrica.;
26.614.291/0001-00;2022-06-30;1;Imóveis para renda em construção;Projeto BTS Eagleburgmann do Brasil;Chuvas acima da média historica em junho 21 e substituição da construtora.;
26.813.118/0001-22;2022-12-31;2;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
27.538.477/0001-81;2022-09-30;1;Imóveis para venda em construção;Mr da Colina;n/a;n/a
27.538.477/0001-81;2022-09-30;1;Imóveis para venda em construção;Vl Nascentes;n/a;n/a
27.538.477/0001-81;2022-12-31;2;Imóveis para venda em construção;Vl Nascentes;n/a;n/a
28.516.325/0001-40;2022-03-31;1;Imóveis para renda em construção;Não há informação apresentada;Não há informação apresentada;Não há informação apresentada
28.516.325/0001-40;2022-06-30;1;Imóveis para renda em construção;Não há informacao apresentada;Não há informacao apresentada;Não há informacao apresentada
28.516.325/0001-40;2022-09-30;1;Imóveis para renda em construção;Não há informacao apresentada;Não há informacao apresentada;Não há informacao apresentada
28.516.325/0001-40;2022-12-31;2;Imóveis para renda em construção;Não há informacao apresentada;Não há informacao apresentada;Não há informacao apresentada
28.516.650/0001-03;2022-03-31;1;Imóveis para venda em construção;Condomínio Massimo Parque da Mooca;O atraso foi causado pela situação de mercado atual, com prazos acima do padrão para entrega de materiais.;N/A
28.516.650/0001-03;2022-06-30;1;Imóveis para venda em construção;Edifício Gibran;O desempenho da obra está dentro do satisfatório. O atraso da obra é considerando dentro do previsto.;N/A
28.516.650/0001-03;2022-06-30;1;Imóveis para venda em construção;Alpha Houses I;A obra está no estágio final, em fase de arremates de acabamentos. O atraso foi causado pela situação de mercado atual, com prazos acima do padrão para entrega de materiais.;N/A
28.516.650/0001-03;2022-06-30;1;Imóveis para venda em construção;Condomínio Massimo Parque da Mooca;Houve um atraso quando da execução da fundação da torre. O cronograma foi revisto para suprir o atraso e hoje a obra não apresenta uma defasagem relevante.;N/A
28.516.650/0001-03;2022-09-30;1;Imóveis para venda em construção;Condomínio Massimo Parque da Mooca;Atraso reportado ainda é reflexo da execução da fundação da torre acima do prazo estimado em função das condições de solo encontradas.;N/A
28.516.650/0001-03;2022-09-30;1;Imóveis para venda em construção;Alpha Houses I;A obra está no estágio final, em fase de arremates de acabamentos. O atraso foi causado pela situação de mercado atual, com prazos acima do padrão para entrega de materiais.;N/A
28.516.650/0001-03;2022-09-30;1;Imóveis para venda em construção;Edifício Gibran;O atraso ainda é reflexo da demora para início de execução de alvenarias das unidades. A construtora não atingiu o objetivo de concretar duas lajes no período, prejudicando o desempenho e, consequentemente, recuperação do prazo.;N/A
28.516.650/0001-03;2022-12-31;1;Imóveis para venda em construção;Condomínio Massimo Parque da Mooca;Atraso reportado é reflexo da demora na execução da fundação da torre somado ao atraso na entrega dos elevadores, dificultando a antecipação dos demais serviços.;N/A
28.516.650/0001-03;2022-12-31;1;Imóveis para venda em construção;MGB;Pequeno atraso devido a incidência de chuva na região.;N/A
28.516.650/0001-03;2022-12-31;1;Imóveis para venda em construção;Edifício Gibran;A construtora não atingiu o objetivo de concretar duas lajes no período, prejudicando o desempenho e, consequentemente, recuperação do prazo.;N/A
28.516.650/0001-03;2022-12-31;1;Imóveis para venda em construção;Stillo Barra -AGER;Obra em fase inicial e pequeno atraso devido a incidência de chuva na região.;N/A
