CNPJ_Fundo_Classe,Data_Referencia,Versao,Endereco,Area,Outras_Caracteristicas_Relevantes,Percentual_Terreno_Total_Investido,Percentual_Terreno_PL,CNPJ_Fundo
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,425.24,QUADRA 17 - LOTE 3 - JD. DAS MACAUBAS,0.0135139380589229,0.008281763949239,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,425.24,QUADRA 17 - LOTE 4 - JD. DAS MACAUBAS,0.0135139380589229,0.008281763949239,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,484.83,QUADRA 18 - LOTE 10 - JD. DAS MACAUBAS,0.0154076817540862,0.0094423093206414,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.34,QUADRA 18 - LOTE 11 - JD. DAS MACAUBAS,0.0129768635758174,0.0079526279066698,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.34,QUADRA 18 - LOTE 12 - JD. DAS MACAUBAS,0.0129768635758174,0.0079526279066698,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,475.27,QUADRA 18 - LOTE 22 - JD. DAS MACAUBAS,0.0151038692062466,0.0092561234882768,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,475.27,QUADRA 18 - LOTE 23 - JD. DAS MACAUBAS,0.0151038692062466,0.0092561234882768,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,411.34,QUADRA 18 - LOTE 24 - JD. DAS MACAUBAS,0.0130722022414574,0.0080110544231022,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,409.5,QUADRA 18 - LOTE 25 - JD. DAS MACAUBAS,0.0130137278598649,0.0079752194930236,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,409.5,QUADRA 18 - LOTE 26 - JD. DAS MACAUBAS,0.0130137278598649,0.0079752194930236,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,475.27,QUADRA 18 - LOTE 3 - JD. DAS MACAUBAS,0.0151038692062466,0.0092561234882768,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,475.27,QUADRA 18 - LOTE 4 - JD. DAS MACAUBAS,0.0151038692062466,0.0092561234882768,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,475.27,QUADRA 18 - LOTE 5 - JD. DAS MACAUBAS,0.0151038692062466,0.0092561234882768,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,475.27,QUADRA 18 - LOTE 6 - JD. DAS MACAUBAS,0.0151038692062466,0.0092561234882768,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,475.27,QUADRA 18 - LOTE 7 - JD. DAS MACAUBAS,0.0151038692062466,0.0092561234882768,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,475.27,QUADRA 18 - LOTE 8 - JD. DAS MACAUBAS,0.0151038692062466,0.0092561234882768,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,481.48,QUADRA 18 - LOTE 9 - JD. DAS MACAUBAS,0.0153012202441215,0.0093770663772919,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 19 - LOTE 13 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 19 - LOTE 14 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,515.98,QUADRA 19 - LOTE 15 - JD. DAS MACAUBAS,0.0163976148989819,0.0100489713162646,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,559.33,QUADRA 19 - LOTE 16 - JD. DAS MACAUBAS,0.0177752586174804,0.0108932344787129,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 19 - LOTE 22 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 19 - LOTE 23 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 19 - LOTE 24 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 19 - LOTE 25 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 19 - LOTE 26 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,462.4,QUADRA 19 - LOTE 4 - JD. DAS MACAUBAS,0.0146948663306508,0.0090054737327817,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,457.04,QUADRA 19 - LOTE 5 - JD. DAS MACAUBAS,0.0145245279147073,0.0089010850234225,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 19 - LOTE 6 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 19 - LOTE 7 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 2 - LOTE 1 -0 JD. DAS MACAUBAS,0.227179010602568,0.139222403701182,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,495.7,QUADRA 20 - LOTE 12 - JD. DAS MACAUBAS,0.0157531255192552,0.0096540080651815,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,467.85,QUADRA 20 - LOTE 13 - JD. DAS MACAUBAS,0.0148680649065636,0.009111615237634,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,493.7,QUADRA 20 - LOTE 14 - JD. DAS MACAUBAS,0.0156895664088285,0.0096150570542265,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,424.09,QUADRA 20 - LOTE 2 - JD. DAS MACAUBAS,0.0134773915704276,0.0082593671179399,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,424.09,QUADRA 20 - LOTE 3 - JD. DAS MACAUBAS,0.0134773915704276,0.0082593671179399,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,424.09,QUADRA 20 - LOTE 4 - JD. DAS MACAUBAS,0.0134773915704276,0.0082593671179399,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,424.09,QUADRA 20 - LOTE 5 - JD. DAS MACAUBAS,0.0134773915704276,0.0082593671179399,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,12891.1,QUADRA 21 - LOTE 1 - JD. DAS MACAUBAS,0.409673106415203,0.251060493905549,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,444.64,QUADRA 3 - LOTE 10 - JD. DAS MACAUBAS,0.0141304614300618,0.0086595887555019,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,444.64,QUADRA 3 - LOTE 11 - JD. DAS MACAUBAS,0.0141304614300618,0.0086595887555019,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,375.0,QUADRA 3 - LOTE 12 - JD. DAS MACAUBAS,0.0119173332050045,0.0073033145540509,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,375.0,QUADRA 3 - LOTE 6 - JD. DAS MACAUBAS,0.0119173332050045,0.0073033145540509,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,375.0,QUADRA 3 - LOTE 7 - JD. DAS MACAUBAS,0.0119173332050045,0.0073033145540509,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,375.0,QUADRA 3 - LOTE 8 - JD. DAS MACAUBAS,0.0119173332050045,0.0073033145540509,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,375.0,QUADRA 3 - LOTE 9 - JD. DAS MACAUBAS,0.0119173332050045,0.0073033145540509,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,439.5,QUADRA 4 - LOTE 1 - JD. DAS MACAUBAS,0.0139671145162652,0.0085594846573477,
