CNPJ_Fundo_Classe,Data_Referencia,Versao,Endereco,Outras_Caracteristicas_Relevantes,Area,Percentual_Terreno_Total_Investido,Percentual_Terreno_PL,CNPJ_Fundo
11.268.335/0001-01,2023-12-29,1,"Fazenda Indaiatuba, Alameda Porteira de Ferro",Nenhuma característica relevante,37303.0,1.0,0.0024,
11.326.746/0001-06,2023-03-31,1,"Rua Amanas S/N, Qd C Lt 03 - Quinta dos Anjicos II - Jd.Maranhão","Projetado um loteamento para o local, onde o terreno em questão está incluso",6179.0,0.0,0.0,
11.326.746/0001-06,2023-03-31,1,"Rodovia Dom Pedro I, altura do KM 131 - Fazenda São Quirino","Trata-se de um terreno localizado s margens da Rodovia Dom Pedro I, próximo do Shopping Galleria e de outros equipamentos comerciais, com acesso fácil e rápido.",31564.06,0.0,0.0,
11.326.746/0001-06,2023-03-31,1,"Aldeia Itajuba, 0, Chacaras Joapiranga II - Valinhos/SP","O imóvel está localizado na marginal da Rodovia Anhanguera em uma localidade industrial, com acesso tido como fácil rápido.",17305.0,0.0,0.0,
11.326.746/0001-06,2023-03-31,1,"Rua Cica , 645, Esquina com Rua São Luis - Jardim Cica","Trata-se de um terreno localizado em uma via comercial com vários empreendimentos de âmbitos locais. Além disso, está próximo de vias de circulação intensa e fluxos rápidos e fáceis, o que contribui para uma localização tida como boa",12841.0,0.0,0.0,
11.326.746/0001-06,2023-03-31,1,Rodovia Santos Dumont (SP 075) KM 59+900m - Indaiatuba/SP,"O imóvel em questão está localizado a beira da rodovia com ampla frente o que lhe permite fácil acesso. Se considerarmos um uso logístico há ainda a opção da malha ferroviária, embora esta seja mais difícil. Em termos gerais, podemos dizer que a localização é tida como boa.",50043.7,0.0,0.0,
11.326.746/0001-06,2023-03-31,1,Rodovia Santos Dumont (SP 075) KM 59+900m - Indaiatuba/SP,"O imóvel em questão está localizado a beira da rodovia com ampla frente o que lhe permite fácil acesso. Se considerarmos um uso logístico há ainda a opção da malha ferroviária, embora esta seja mais difícil. Em termos gerais, podemos dizer que a localização é tida como boa.",98318.96,0.0,0.0,
11.326.746/0001-06,2023-03-31,1,"Rua das Indústrias, 250  x Rua Clark, Morro das Pedras, Valinhos / SP","Os imóveis são atualmente terrenos vazios que pertecem a região administrativa da Macuco, originados a partir do desmembramento da Gleba C da fazenda Morro das Pedras, no município de Valinhos - SP.",9932.52,0.0,0.0,
11.326.746/0001-06,2023-06-30,1,"Rua Amanas S/N, Qd C Lt 03 - Quinta dos Anjicos II - Jd.Maranhão","Projetado um loteamento para o local, onde o terreno em questão está incluso",6179.0,0.0,0.0,
11.326.746/0001-06,2023-06-30,1,"Rodovia Dom Pedro I, altura do KM 131 - Fazenda São Quirino","Trata-se de um terreno localizado s margens da Rodovia Dom Pedro I, próximo do Shopping Galleria e de outros equipamentos comerciais, com acesso fácil e rápido.",31564.06,0.0,0.0,
11.326.746/0001-06,2023-06-30,1,"Aldeia Itajuba, 0, Chacaras Joapiranga II - Valinhos/SP","O imóvel está localizado na marginal da Rodovia Anhanguera em uma localidade industrial, com acesso tido como fácil rápido.",17305.0,0.0,0.0,
11.326.746/0001-06,2023-06-30,1,"Rua Cica , 645, Esquina com Rua São Luis - Jardim Cica","Trata-se de um terreno localizado em uma via comercial com vários empreendimentos de âmbitos locais. Além disso, está próximo de vias de circulação intensa e fluxos rápidos e fáceis, o que contribui para uma localização tida como boa",12841.0,0.0,0.0,
11.326.746/0001-06,2023-06-30,1,Rodovia Santos Dumont (SP 075) KM 59+900m - Indaiatuba/SP,"O imóvel em questão está localizado a beira da rodovia com ampla frente o que lhe permite fácil acesso. Se considerarmos um uso logístico há ainda a opção da malha ferroviária, embora esta seja mais difícil. Em termos gerais, podemos dizer que a localização é tida como boa.",50043.7,0.0,0.0,
11.326.746/0001-06,2023-06-30,1,Rodovia Santos Dumont (SP 075) KM 59+900m - Indaiatuba/SP,"O imóvel em questão está localizado a beira da rodovia com ampla frente o que lhe permite fácil acesso. Se considerarmos um uso logístico há ainda a opção da malha ferroviária, embora esta seja mais difícil. Em termos gerais, podemos dizer que a localização é tida como boa.",98318.96,0.0,0.0,
11.326.746/0001-06,2023-06-30,1,"Rua das Indústrias, 250  x Rua Clark, Morro das Pedras, Valinhos / SP","Os imóveis são atualmente terrenos vazios que pertecem a região administrativa da Macuco, originados a partir do desmembramento da Gleba C da fazenda Morro das Pedras, no município de Valinhos - SP.",9932.52,0.0,0.0,
11.326.746/0001-06,2023-09-30,1,"Rua Amanas S/N, Qd C Lt 03 - Quinta dos Anjicos II - Jd.Maranhão","Projetado um loteamento para o local, onde o terreno em questão está incluso",6179.0,0.0,0.0,
11.326.746/0001-06,2023-09-30,1,"Rodovia Dom Pedro I, altura do KM 131 - Fazenda São Quirino","Trata-se de um terreno localizado s margens da Rodovia Dom Pedro I, próximo do Shopping Galleria e de outros equipamentos comerciais, com acesso fácil e rápido.",31564.06,0.0,0.0,
11.326.746/0001-06,2023-09-30,1,"Aldeia Itajuba, 0, Chacaras Joapiranga II - Valinhos/SP","O imóvel está localizado na marginal da Rodovia Anhanguera em uma localidade industrial, com acesso tido como fácil rápido.",17305.0,0.0,0.0,
11.326.746/0001-06,2023-09-30,1,"Rua Cica , 645, Esquina com Rua São Luis - Jardim Cica","Trata-se de um terreno localizado em uma via comercial com vários empreendimentos de âmbitos locais. Além disso, está próximo de vias de circulação intensa e fluxos rápidos e fáceis, o que contribui para uma localização tida como boa",12841.0,0.0,0.0,
11.326.746/0001-06,2023-09-30,1,Rodovia Santos Dumont (SP 075) KM 59+900m - Indaiatuba/SP,"O imóvel em questão está localizado a beira da rodovia com ampla frente o que lhe permite fácil acesso. Se considerarmos um uso logístico há ainda a opção da malha ferroviária, embora esta seja mais difícil. Em termos gerais, podemos dizer que a localização é tida como boa.",50043.7,0.0,0.0,
11.326.746/0001-06,2023-09-30,1,Rodovia Santos Dumont (SP 075) KM 59+900m - Indaiatuba/SP,"O imóvel em questão está localizado a beira da rodovia com ampla frente o que lhe permite fácil acesso. Se considerarmos um uso logístico há ainda a opção da malha ferroviária, embora esta seja mais difícil. Em termos gerais, podemos dizer que a localização é tida como boa.",98318.96,0.0,0.0,
