CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Endereco_Imovel;Caracteristicas_Contratuais
22.340.978/0001-35;2021-06-30;2;BGOMES;Não há
22.340.978/0001-35;2021-06-30;2;BOIMIRIM;Não há
22.340.978/0001-35;2021-06-30;2;CONJ REG;Não há
22.340.978/0001-35;2021-06-30;2;CUBAS1;Não há
22.340.978/0001-35;2021-06-30;2;DA MATRI;Não há
22.340.978/0001-35;2021-06-30;2;DOM PEDR;Não há
22.340.978/0001-35;2021-06-30;2;FLOR1;Não há
22.340.978/0001-35;2021-06-30;2;GLICERIO;Não há
22.340.978/0001-35;2021-06-30;2;INGL1;Não há
22.340.978/0001-35;2021-06-30;2;JABA1;Não há
22.340.978/0001-35;2021-06-30;2;KERR1;Não há
22.340.978/0001-35;2021-06-30;2;LINS1;Não há
22.340.978/0001-35;2021-06-30;2;MARCILIO;Não há
22.340.978/0001-35;2021-06-30;2;NEWTON P;Não há
22.340.978/0001-35;2021-06-30;2;PARADA1;Não há
22.340.978/0001-35;2021-06-30;2;SANTANA1;Não há
22.340.978/0001-35;2021-06-30;2;SOLDADO;Não há
22.340.978/0001-35;2021-06-30;2;TAGUAIBA;Não há
22.340.978/0001-35;2021-06-30;2;VIANCO;Não há
22.340.978/0001-35;2021-06-30;2;VISC1;Não há
22.340.978/0001-35;2021-06-30;2;PENHA;Não há
22.340.978/0001-35;2021-06-30;2;FLAMBOYANT;Não há
22.340.978/0001-35;2021-06-30;2;CESAR MOTA;Não há
22.340.978/0001-35;2021-09-30;1;12 OUTUB;Não há
22.340.978/0001-35;2021-09-30;1;ADOL1;Não há
22.340.978/0001-35;2021-09-30;1;ALONSO1;Não há
22.340.978/0001-35;2021-09-30;1;ALONSO2;Não há
22.340.978/0001-35;2021-09-30;1;AMARAL1;Não há
22.340.978/0001-35;2021-09-30;1;ANTONIOA;Não há
22.340.978/0001-35;2021-09-30;1;APLUB 1;Não há
22.340.978/0001-35;2021-09-30;1;APTO A;Não há
22.340.978/0001-35;2021-09-30;1;BARAOM;Não há
22.340.978/0001-35;2021-09-30;1;BGOMES;Não há
22.340.978/0001-35;2021-09-30;1;BOIMIRIM;Não há
22.340.978/0001-35;2021-09-30;1;CONJ REG;Não há
22.340.978/0001-35;2021-09-30;1;CUBAS1;Não há
22.340.978/0001-35;2021-09-30;1;DA MATRI;Não há
22.340.978/0001-35;2021-09-30;1;DOM PEDR;Não há
22.340.978/0001-35;2021-09-30;1;FLOR1;Não há
22.340.978/0001-35;2021-09-30;1;GLICERIO;Não há
22.340.978/0001-35;2021-09-30;1;INGL1;Não há
22.340.978/0001-35;2021-09-30;1;JABA1;Não há
22.340.978/0001-35;2021-09-30;1;LINS1;Não há
22.340.978/0001-35;2021-09-30;1;MARCILIO;Não há
22.340.978/0001-35;2021-09-30;1;NEWTON P;Não há
22.340.978/0001-35;2021-09-30;1;PARADA1;Não há
22.340.978/0001-35;2021-09-30;1;SANTANA1;Não há
22.340.978/0001-35;2021-09-30;1;SOLDADO;Não há
22.340.978/0001-35;2021-09-30;1;TAGUAIBA;Não há
22.340.978/0001-35;2021-09-30;1;VIANCO;Não há
22.340.978/0001-35;2021-09-30;1;VISC1;Não há
22.340.978/0001-35;2021-09-30;1;PENHA;Não há
22.340.978/0001-35;2021-09-30;1;FLAMBOYANT;Não há
22.340.978/0001-35;2021-09-30;1;CESAR MOTA;Não há
22.340.978/0001-35;2021-12-31;1;12 OUTUB;Não há
22.340.978/0001-35;2021-12-31;1;ADOL1;Não há
22.340.978/0001-35;2021-12-31;1;ALONSO1;Não há
22.340.978/0001-35;2021-12-31;1;ALONSO2;Não há
22.340.978/0001-35;2021-12-31;1;AMARAL1;Não há
22.340.978/0001-35;2021-12-31;1;ANTONIOA;Não há
22.340.978/0001-35;2021-12-31;1;APLUB 1;Não há
22.340.978/0001-35;2021-12-31;1;APTO A;Não há
22.340.978/0001-35;2021-12-31;1;BARAOM;Não há
22.340.978/0001-35;2021-12-31;1;BGOMES;Não há
22.340.978/0001-35;2021-12-31;1;BOIMIRIM;Não há
22.340.978/0001-35;2021-12-31;1;CONJ REG;Não há
22.340.978/0001-35;2021-12-31;1;CUBAS1;Não há
